,AID,CID,Activity Outcome,Protein Accession,SMILES
2201773,1671197,2345.0,Active,AAV41877,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2201775,1671197,20395.0,Active,AAV41877,CCC(C1=CC=CC=C1)C(=O)OCCN2CCOC(C2C)C3=CC=CC=C3
2201777,1671197,700.0,Active,AAV41877,C(CO)N
2201779,1671197,1999.0,Inactive,AAV41877,CCC(C1=CC=CC=C1)C(=O)NC(=O)NC(=O)C
2201781,1671197,1489.0,Active,AAV41877,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O
2201783,1671197,23686673.0,Inactive,AAV41877,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)[O-].[Na+]
2201785,1671197,158076.0,Active,AAV41877,CC(C)(C)[C@H]([C@@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
2201787,1671197,132932.0,Active,AAV41877,COC1=CC=C(C=C1)N2C(=CC(=N2)C(F)F)C3=CC=C(C=C3)S(=O)C
2201791,1671197,31368.0,Inactive,AAV41877,CC(=C)C#N
2201793,1671197,123458.0,Inactive,AAV41877,CC(COC)N
2201795,1671197,162381.0,Active,AAV41877,CC(=C[C@@H]1[C@H](C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C
2201797,1671197,5067511.0,Active,AAV41877,CC1=C(C(=C(C=C1Br)Br)OC)Br
2201799,1671197,56704.0,Inactive,AAV41877,CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2.Cl
2201801,1671197,2478.0,Inactive,AAV41877,CS(=O)(=O)OCCCCOS(=O)(=O)C
2201803,1671197,136843.0,Inactive,AAV41877,C1CCC2(C1)CC(=O)NC(=O)C2
2201805,1671197,2256.0,Inactive,AAV41877,CCNC1=NC(=NC(=N1)Cl)NC(C)C
2201807,1671197,5284341.0,Active,AAV41877,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl
2201809,1671197,525.0,Active,AAV41877,C(C(C(=O)O)O)C(=O)O
2201811,1671197,2153.0,Inactive,AAV41877,CN1C2=C(C(=O)N(C1=O)C)NC=N2
2201813,1671197,1483.0,Inactive,AAV41877,C1=C(C=C(C(=C1Br)O)Br)Br
2201815,1671197,53665.0,Inactive,AAV41877,C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O
2201817,1671197,129991.0,Inactive,AAV41877,CC(=O)OCC(=O)NC1=CC(=CC(=C1Cl)NC(=O)COC(=O)C)C#N
2201819,1671197,135410.0,Inactive,AAV41877,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H](C3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)COC
2201823,1671197,22188.0,Active,AAV41877,CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl
2201825,1671197,2735122.0,Inactive,AAV41877,C(=O)[O-].[K+]
2201827,1671197,148192.0,Active,AAV41877,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC
2201831,1671197,28446.0,Inactive,AAV41877,CNC1=C2CCCCC2=NN1C
2201833,1671197,2272.0,Inactive,AAV41877,C1=CC=C(C=C1)N=NC2=CC=CC=C2
2201835,1671197,129319.0,Inactive,AAV41877,CCNC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2
2201837,1671197,2202.0,Inactive,AAV41877,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
2201839,1671197,19004.0,Inactive,AAV41877,C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O.[Br-]
2201841,1671197,460.0,Inactive,AAV41877,COC1=CC=CC=C1O
2201843,1671197,1923.0,Active,AAV41877,C1=CC2=C(C(=C1)O)N=CC=C2
2201845,1671197,1359.0,Active,AAV41877,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2
2201847,1671197,23674746.0,Active,AAV41877,CCC1=C2C(=CC(=C1)C3=C(N(S(=O)(=O)C4=CC=CC=C43)C5=CC=CC=C5C(F)(F)F)C(=O)[O-])OCO2.[K+]
2201849,1671197,134601.0,Inactive,AAV41877,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N
2201853,1671197,2728.0,Active,AAV41877,CC(C)OC(=O)NC1=CC(=CC=C1)Cl
2201855,1671197,31291.0,Inactive,AAV41877,CCCCCCCCCCCCCC=O
2201857,1671197,2734250.0,Inactive,AAV41877,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[O-]
2201859,1671197,145815.0,Inactive,AAV41877,C(CC(=O)N)[C@H](C(=O)O)N
2201861,1671197,5329098.0,Active,AAV41877,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C
2201863,1671197,55245.0,Active,AAV41877,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O
2201865,1671197,2268.0,Active,AAV41877,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
2201867,1671197,123114.0,Inactive,AAV41877,C1CC1C=O
2201869,1671197,2148.0,Inactive,AAV41877,C1=CC(=CC=C1C(=O)NCC(=O)O)N
2201873,1671197,335.0,Inactive,AAV41877,CC1=CC=CC=C1O
2201875,1671197,1639.0,Inactive,AAV41877,C1=NNC(=N1)N
2201877,1671197,10693833.0,Inactive,AAV41877,CN1CC2=C(C=CC(=C2)C(=O)N3CCC(CC3)C4CCNCC4)N[C@@H](C1=O)CC(=O)O
2201879,1671197,54384.0,Inactive,AAV41877,C[C@@H]1CN(CC[C@@]1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F.Cl
2201881,1671197,116814.0,Active,AAV41877,CN(C1CCCCC1)S(=O)(=O)C2=CC=CC=C2N
2201883,1671197,117549.0,Active,AAV41877,CCCCCC1=CCCC1=O
2201885,1671197,2707.0,Inactive,AAV41877,C(C(Cl)(Cl)Cl)(O)O
2201887,1671197,22311.0,Inactive,AAV41877,CC1=CCC(CC1)C(=C)C
2201889,1671197,2734247.0,Inactive,AAV41877,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-]
2201893,1671197,14425.0,Active,AAV41877,CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
2201895,1671197,27200.0,Active,AAV41877,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O
2201897,1671197,2155.0,Inactive,AAV41877,C1=CSC(=N1)N
2201899,1671197,123631.0,Active,AAV41877,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
2201901,1671197,2078.0,Active,AAV41877,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
2201903,1671197,19241.0,Active,AAV41877,CCCCNS(=O)(=O)C1=CC=CC=C1
2201905,1671197,79.0,Active,AAV41877,C1=CC(=CN=C1)C#N
2201907,1671197,1639.0,Inactive,AAV41877,C1=NNC(=N1)N
2201909,1671197,2728761.0,Active,AAV41877,C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2.Cl.Cl
2201911,1671197,23684827.0,Inactive,AAV41877,C(C(=O)[O-])SC#N.[Na+]
2201913,1671197,128918.0,Inactive,AAV41877,C1CN(CC=C1C2=CC(=CC=C2)C(F)(F)F)CCC3=CC4=CC=CC=C4C=C3.Cl
2201917,1671197,2707.0,Inactive,AAV41877,C(C(Cl)(Cl)Cl)(O)O
2201919,1671197,31264.0,Inactive,AAV41877,CC1OC(OC(O1)C)C
2201921,1671197,2734180.0,Inactive,AAV41877,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1
2201923,1671197,133914.0,Active,AAV41877,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC
2201925,1671197,14296.0,Inactive,AAV41877,CC1=C(N=C(C(=N1)C)C)C
2201927,1671197,55251.0,Inactive,AAV41877,C1=CC=C(C(=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)O
2201929,1671197,2122.0,Inactive,AAV41877,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
2201931,1671197,119716.0,Inactive,AAV41877,CC(C)CCCCCCN
2201933,1671197,2000.0,Inactive,AAV41877,CC(=O)NC(CC1=CC=CC=C1)C(=O)O
2201935,1671197,5283389.0,Inactive,AAV41877,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O
2201937,1671197,9595287.0,Active,AAV41877,CNC(=O)O/N=C(/C(=O)N(C)C)\SC
2201941,1671197,2724048.0,Active,AAV41877,CC1=C(C=CC(=C1)Cl)OCC(=O)[O-].[Na+]
2201943,1671197,53388.0,Inactive,AAV41877,C[C@@H]1CN(C[C@@H](N1)C)CCCN2C3=CC=CC=C3C4=CC=CC=C42.Cl.Cl
2201945,1671197,124225.0,Inactive,AAV41877,CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCNCC4
2201947,1671197,115268.0,Active,AAV41877,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.O.[Br-].[Br-]
2201949,1671197,2662.0,Active,AAV41877,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2201951,1671197,22188.0,Active,AAV41877,CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl
2201955,1671197,138395.0,Inactive,AAV41877,CC1=NC2=C(C=C1)C=CC(=C2)Cl
2201957,1671197,14138.0,Active,AAV41877,CCCCCCCOC(=O)C1=CC=C(C=C1)O
2201959,1671197,24726.0,Inactive,AAV41877,C(/C=C/Cl)Cl
2201961,1671197,2081.0,Active,AAV41877,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
2201963,1671197,115227.0,Inactive,AAV41877,CC1=C(C=C(C(=O)N1)C#N)C2=CN3C=CN=C3C=C2.Cl
2201965,1671197,1892.0,Inactive,AAV41877,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO
2201967,1671197,18343.0,Inactive,AAV41877,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
2201971,1671197,1148.0,Active,AAV41877,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
2201975,1671197,23707968.0,Inactive,AAV41877,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+]
2201977,1671197,123698.0,Active,AAV41877,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl
2201981,1671197,2682.0,Inactive,AAV41877,CCCCCCCCCCCCCCCCO
2201983,1671197,31255.0,Inactive,AAV41877,C[N+](C)(C)CCO.[OH-]
2201985,1671197,2734172.0,Inactive,AAV41877,CCCCCC[N+]1=CC=CC=C1.[Cl-]
2201987,1671197,129791.0,Inactive,AAV41877,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC.Cl
2201989,1671197,14652.0,Active,AAV41877,CS(=O)(=O)C1=CC=C(C=C1)C2=CN3C=CC=CC3=N2
2201991,1671197,53518.0,Active,AAV41877,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl
2201993,1671197,1390.0,Inactive,AAV41877,CN1C=CN=C1
2201997,1671197,1935.0,Inactive,AAV41877,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
2201999,1671197,5282375.0,Active,AAV41877,CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C(=C(C=C1C)OC)C)C
2202001,1671197,4373502.0,Active,AAV41877,C1=CC(=CC=C1C2=CSC(=N2)NN)[N+](=O)[O-]
2202003,1671197,1483.0,Inactive,AAV41877,C1=C(C=C(C(=C1Br)O)Br)Br
2202005,1671197,6918305.0,Inactive,AAV41877,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@](C4)(C)O)C)C
2202007,1671197,43233.0,Active,AAV41877,C1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
2202009,1671197,122824.0,Active,AAV41877,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl
2202011,1671197,2734249.0,Inactive,AAV41877,CCCCCC[N+]1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[O-]
2202013,1671197,2482.0,Active,AAV41877,CCCCOC(=O)C1=CC=C(C=C1)N
2202015,1671197,21954.0,Inactive,AAV41877,C1=CC(=O)NNC1=O
2202017,1671197,267210.0,Active,AAV41877,COC(=O)C1(C2=CC=CC=C2C3=CC=CC=C31)O
2202019,1671197,130990.0,Active,AAV41877,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(CC1)C(=O)OC[C@H](COC(=O)N(CC2=CC=CC=[N+]2CC)C(=O)C3=CC=CC=C3OC)OC.[Cl-]
2202021,1671197,14994.0,Active,AAV41877,CC(C)(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O
2202023,1671197,23019.0,Active,AAV41877,CCCCCOC(=O)C1=CC=C(C=C1)O
2202027,1671197,250948.0,Active,AAV41877,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC(=C)[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
2202031,1671197,18283.0,Inactive,AAV41877,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO
2202033,1671197,1550489.0,Active,AAV41877,C1=CNC(=S)N=C1
2202035,1671197,16682953.0,Active,AAV41877,CC(=O)O[Pb](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
2202037,1671197,6917941.0,Inactive,AAV41877,C1CCC2=C(C1)C(=C3CCCC3=N2)N.O.Cl
2202041,1671197,122073.0,Active,AAV41877,CC1=C(C(C(=C(N1)C)C(=O)OCCC2=CC=C(C=C2)N3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)C6=CC(=CC=C6)[N+](=O)[O-])C(=O)OC
2202043,1671197,2735045.0,Active,AAV41877,CCOC(=S)[S-].[K+]
2202045,1671197,2541.0,Inactive,AAV41877,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
2202047,1671197,27457.0,Inactive,AAV41877,CCC1=NC=CN=C1C
2202049,1671197,246598.0,Active,AAV41877,C1=CC=C(C(=C1)C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
2202051,1671197,123619.0,Inactive,AAV41877,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
2202053,1671197,14025.0,Inactive,AAV41877,COCCO[Si](C=C)(OCCOC)OCCOC
2202057,1671197,1174.0,Inactive,AAV41877,C1=CNC(=O)NC1=O
2202063,1671197,5282109.0,Inactive,AAV41877,CC(=CCC/C(=C/COC=O)/C)C
2202065,1671197,192197.0,Active,AAV41877,CC[C@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O
2202067,1671197,1548887.0,Active,AAV41877,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
2202069,1671197,6915744.0,Inactive,AAV41877,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
2202073,1671197,120203.0,Inactive,AAV41877,C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
2202075,1671197,2734229.0,Active,AAV41877,CCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-]
2202077,1671197,2477.0,Inactive,AAV41877,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
2202079,1671197,21330.0,Inactive,AAV41877,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2
2202081,1671197,250948.0,Active,AAV41877,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC(=C)[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
2202087,1671197,22960.0,Active,AAV41877,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+]
2202089,1671197,1133.0,Inactive,AAV41877,C(C(=O)O)S
2202091,1671197,5311067.0,Active,AAV41877,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C
2202095,1671197,18827.0,Inactive,AAV41877,CCCCCC(C=C)O
2202097,1671197,188304.0,Inactive,AAV41877,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6
2202099,1671197,1549026.0,Inactive,AAV41877,CC(=CCC/C(=C/COC(=O)C)/C)C
2202101,1671197,13428.0,Active,AAV41877,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-]
2202103,1671197,23672326.0,Inactive,AAV41877,C1=CC2=C(C=CC(=C2S(=O)(=O)[O-])N)C(=C1)S(=O)(=O)O.[Na+]
2202105,1671197,2735107.0,Active,AAV41877,CCCCCCCCOS(=O)(=O)[O-].[Na+]
2202107,1671197,2734174.0,Inactive,AAV41877,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F
2202109,1671197,2391.0,Active,AAV41877,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
2202111,1671197,26618.0,Inactive,AAV41877,CC1=C(C(=CC=C1)C)NC(=O)C2=CC(=C(C=C2O)Cl)S(=O)(=O)N
2202113,1671197,236702.0,Inactive,AAV41877,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C
2202115,1671197,121097.0,Inactive,AAV41877,COC(=O)C1=CC=CC=C1C(=O)C2=CC=C(C=C2)OCCN3CCCCC3.Cl
2202117,1671197,13381.0,Inactive,AAV41877,CCCCCCCCC=C
2202119,1671197,50491.0,Inactive,AAV41877,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)OCOC(=O)C(C)(C)C)C
2202121,1671197,4445035.0,Inactive,AAV41877,C1=CC=C(C=C1)[O-].[Na+]
2202123,1671197,5311093.0,Active,AAV41877,CCCCCCCC/C=C\CCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
2202125,1671197,1486.0,Inactive,AAV41877,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
2202127,1671197,5282182.0,Inactive,AAV41877,CC(=CCC/C(=C/CC/C(=C/CCC(=O)OC/C=C(\C)/CCC=C(C)C)/C)/C)C
2202129,1671197,183559.0,Active,AAV41877,C1=CC(=CC=C1C2=C(C(=C(N2)C(F)(F)F)Br)C#N)Cl
2202131,1671197,1550232.0,Active,AAV41877,COC1=C(C=CC(=C1)/C=C/2\CCC/C(=C/C3=CC(=C(C=C3)O)OC)/C2=O)O
2202133,1671197,13203.0,Active,AAV41877,C1CCC(=O)C(C1)Cl
2202135,1671197,41381.0,Active,AAV41877,CCN(CC(=C)C)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
2202139,1671197,2734161.0,Active,AAV41877,CCCCN1C=C[N+](=C1)C.[Cl-]
2202141,1671197,2286.0,Active,AAV41877,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
2202143,1671197,21277.0,Inactive,AAV41877,C1=CC(=CC=C1C(Cl)(Cl)Cl)Cl
2202145,1671197,657298.0,Inactive,AAV41877,CCCC1=CC(=O)NC(=S)N1
2202147,1671197,2758873.0,Active,AAV41877,CCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F
2202149,1671197,13271.0,Active,AAV41877,C1=CC=C(C=C1)NC2=CC=C(C=C2)[N+](=O)[O-]
2202151,1671197,22586.0,Active,AAV41877,CC1=C(C=CC(=C1)NC2=CC=C(C=C2)O)N
2202157,1671197,1176.0,Inactive,AAV41877,C(=O)(N)N
2202159,1671197,18752.0,Inactive,AAV41877,COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
2202161,1671197,175804.0,Inactive,AAV41877,CCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C.Cl
2202163,1671197,223368.0,Active,AAV41877,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O
2202165,1671197,13257.0,Active,AAV41877,CC1=C2C=CC3=CC=CC=C3C2=CC=C1
2202167,1671197,23668568.0,Inactive,AAV41877,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[N-]5)N=CC=C2.[Na+]
2202169,1671197,2733525.0,Active,AAV41877,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
2202171,1671197,2734171.0,Inactive,AAV41877,CCCC[N+]1=CC=CC=C1.[Cl-]
2202173,1671197,2345.0,Active,AAV41877,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2202175,1671197,28777.0,Active,AAV41877,C1CCC(CC1)SN2C(=O)C3=CC=CC=C3C2=O
2202177,1671197,657381.0,Inactive,AAV41877,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[N+](=O)([O-])[O-]
2202179,1671197,2763760.0,Active,AAV41877,CC1COC2=CC=CC=C2N1
2202185,1671197,10560335.0,Inactive,AAV41877,C[N+]1=CN(C=C1)CC2=CC=CC=C2.[Cl-]
2202187,1671197,14899.0,Inactive,AAV41877,CC(C)CCCCCCCOC(=O)C=C
2202189,1671197,1318.0,Active,AAV41877,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
2202191,1671197,5281613.0,Inactive,AAV41877,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
2202193,1671197,163263.0,Active,AAV41877,C[C@]12CCCC([C@@H]1CC[C@@]([C@@H]2CC[C@](C)(C=C)O)(C)O)(C)C
2202195,1671197,210301.0,Inactive,AAV41877,C[N+]1(CCCCC1)CC2COC(O2)(C3=CC=CC=C3)C4=CC=CC=C4.[I-]
2202197,1671197,12855.0,Active,AAV41877,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2
2202207,1671197,21208.0,Active,AAV41877,C1=CC(=C(C=C1N)N)[N+](=O)[O-]
2202209,1671197,5323714.0,Inactive,AAV41877,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
2202211,1671197,261491.0,Inactive,AAV41877,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C
2202213,1671197,12756.0,Active,AAV41877,CCC1CCC(=O)O1
2202215,1671197,21853.0,Inactive,AAV41877,CC1=CC=C(C=C1)C(C)OC(=O)C2(CCC(C2(C)C)C(=O)O)C.C(CO)NCCO
2202219,1671197,14710.0,Active,AAV41877,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-]
2202223,1671197,17318.0,Active,AAV41877,CC(=C)C(=O)OCCC[Si](OC)(OC)OC
2202225,1671197,173636.0,Active,AAV41877,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl.OS(=O)(=O)O
2202227,1671197,169794.0,Inactive,AAV41877,CC(C)CCCCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCCCC(C)C)C(=O)OCCCCCCCC(C)C
2202229,1671197,12681.0,Inactive,AAV41877,CC(C)(CCC(=O)O)C(=O)O
2202231,1671197,23668192.0,Inactive,AAV41877,CC1=C(C=C(C=C1)S(=O)(=O)[O-])C.[Na+]
2202233,1671197,246724.0,Inactive,AAV41877,COC1=CC(=C(C=C1)OC)Cl
2202235,1671197,261501.0,Inactive,AAV41877,CCOC(=O)C1=CC(=CC=C1)N.CS(=O)(=O)O
2202237,1671197,2266.0,Inactive,AAV41877,C(CCCC(=O)O)CCCC(=O)O
2202239,1671197,29327.0,Inactive,AAV41877,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O
2202241,1671197,14218.0,Active,AAV41877,CC(C)(CO)COC(=O)C(C)(C)CO
2202243,1671197,2737408.0,Active,AAV41877,CC(C)(C)OC(=O)C1=CC(=CC=C1)N
2202245,1671197,12733.0,Active,AAV41877,CCSCCCl
2202247,1671197,43234.0,Active,AAV41877,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
2202249,1671197,2734176.0,Inactive,AAV41877,CCCC[N+]1=CC=CC=C1.F[P-](F)(F)(F)(F)F
2202251,1671197,14249.0,Active,AAV41877,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
2202253,1671197,1355.0,Inactive,AAV41877,C1CN(CCN1)C2=CC(=CC=C2)Cl
2202255,1671197,5281098.0,Active,AAV41877,CN(C/C=C/C1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32.Cl
2202257,1671197,156328.0,Active,AAV41877,C1CN(CCC1CC2=CC=C(C=C2)F)CCS(=O)C3=CC4=C(C=C3)NC(=O)O4
2202259,1671197,169132.0,Inactive,AAV41877,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C
2202261,1671197,12484.0,Active,AAV41877,CC1=CC=CC=C1N.Cl
2202263,1671197,39040.0,Inactive,AAV41877,CC1=C2C(=CC=C1)SC3=NN=CN23
2202265,1671197,243274.0,Active,AAV41877,CCOC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N
2202269,1671197,1981.0,Inactive,AAV41877,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
2202271,1671197,20965.0,Active,AAV41877,CCOP(=S)(OCC)OC1=CC(=C(C=C1Cl)Br)Cl
2202273,1671197,14493.0,Inactive,AAV41877,C(CCCCS)CCCS
2202275,1671197,232446.0,Active,AAV41877,C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O
2202277,1671197,12736.0,Active,AAV41877,C(CCCCCC(=O)O)CCCCC(=O)O
2202281,1671197,2761171.0,Active,AAV41877,CCC1=NC=CC(=C1)C(=S)N
