,AID,CID,Activity Outcome,Protein Accession,SMILES
2194231,1671197,18374068.0,Inactive,AAV41877,[B-](F)(F)(F)F.CC[N+]1(CCCC1)C
2194233,1671197,9920342.0,Inactive,AAV41877,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H]([C@@H]1[C@@H]([C@H](CO1)O)O)O
2194235,1671197,135410906.0,Inactive,AAV41877,C=CCN1C2=C(N=C(NC2=O)N)N(C1=O)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
2194237,1671197,16684434.0,Active,AAV41877,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+]
2194241,1671197,9908126.0,Active,AAV41877,CN[C@H]1CC[C@H](C2=C1C=C(C=C2)S(=O)(=O)N)C3=CC(=C(C=C3)Cl)Cl
2194243,1671197,54675779.0,Inactive,AAV41877,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
2194245,1671197,16682834.0,Active,AAV41877,CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1
2194247,1671197,2723640.0,Inactive,AAV41877,CCOC(=O)CN.Cl
2194249,1671197,16682730.0,Active,AAV41877,CC(=O)O[Hg]C1=CC=CC=C1
2194251,1671197,2723622.0,Active,AAV41877,CCCCNC(=S)NCCCC
2194257,1671197,135409535.0,Active,AAV41877,CC1=C(C2=C(C=C1)N=C(NC2=O)N)SC3=CC=NC=C3.Cl.Cl
2194259,1671197,54704426.0,Inactive,AAV41877,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl
2194261,1671197,9839424.0,Inactive,AAV41877,C1=CC(=CC=C1NC(=O)CC[C@@H](C(=O)O)N)[N+](=O)[O-].Cl
2194263,1671197,21935081.0,Active,AAV41877,CCOC(=O)COC1=CC2=C(CCC(C2)NCC(C3=CC(=CC=C3)Cl)O)C=C1.Cl
2194265,1671197,135565106.0,Active,AAV41877,C1=CC=C(C(=C1)C(F)(F)F)N=NC2=C(C=CC3=CC(=CC(=C32)O)S(=O)(=O)[O-])N.[Na+]
2194267,1671197,16726630.0,Inactive,AAV41877,CCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
2194269,1671197,9910986.0,Inactive,AAV41877,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl
